Sno,Date,Country/Region,Province/State,Confirmed
1,30-01-2020,India,Kerala,1
2,31-01-2020,India,Kerala,1
3,01-02-2020,India,Kerala,2
4,02-02-2020,India,Kerala,3
5,03-02-2020,India,Kerala,3
6,04-02-2020,India,Kerala,3
7,05-02-2020,India,Kerala,3
8,06-02-2020,India,Kerala,3
9,07-02-2020,India,Kerala,3
10,08-02-2020,India,Kerala,3
11,09-02-2020,India,Kerala,3
12,10-02-2020,India,Kerala,3
13,11-02-2020,India,Kerala,3
14,12-02-2020,India,Kerala,3
15,13-02-2020,India,Kerala,3
16,14-02-2020,India,Kerala,3
17,15-02-2020,India,Kerala,3
18,16-02-2020,India,Kerala,3
19,17-02-2020,India,Kerala,3
20,18-02-2020,India,Kerala,3
21,19-02-2020,India,Kerala,3
22,20-02-2020,India,Kerala,3
23,21-02-2020,India,Kerala,3
24,22-02-2020,India,Kerala,3
25,23-02-2020,India,Kerala,3
26,24-02-2020,India,Kerala,3
27,25-02-2020,India,Kerala,3
28,26-02-2020,India,Kerala,3
29,27-02-2020,India,Kerala,3
30,28-02-2020,India,Kerala,3
31,29-02-2020,India,Kerala,3
32,01-03-2020,India,Kerala,3
33,02-03-2020,India,Telengana,1
34,02-03-2020,India,Kerala,3
35,02-03-2020,India,Delhi,1
36,03-03-2020,India,Telengana,1
37,03-03-2020,India,Rajasthan,1
38,03-03-2020,India,Kerala,3
39,03-03-2020,India,Delhi,1
40,04-03-2020,India,Uttar Pradesh,6
41,04-03-2020,India,Kerala,3
42,04-03-2020,India,Haryana,2
43,04-03-2020,India,Delhi,1
44,04-03-2020,India,Telengana,1
45,04-03-2020,India,Rajasthan,15
46,05-03-2020,India,Delhi,2
47,05-03-2020,India,Haryana,2
48,05-03-2020,India,Kerala,3
49,05-03-2020,India,Rajasthan,15
50,05-03-2020,India,Telengana,1
51,05-03-2020,India,Uttar Pradesh,7
52,06-03-2020,India,Delhi,3
53,06-03-2020,India,Haryana,2
54,06-03-2020,India,Kerala,3
55,06-03-2020,India,Rajasthan,15
56,06-03-2020,India,Uttar Pradesh,7
57,06-03-2020,India,Telengana,1
58,07-03-2020,India,Kerala,3
59,07-03-2020,India,Uttar Pradesh,7
60,07-03-2020,India,Ladakh,2
61,07-03-2020,India,Telengana,1
62,07-03-2020,India,Tamil Nadu,1
63,07-03-2020,India,Delhi,3
64,07-03-2020,India,Haryana,2
65,07-03-2020,India,Rajasthan,15
66,08-03-2020,India,Ladakh,2
67,08-03-2020,India,Telengana,1
68,08-03-2020,India,Tamil Nadu,1
69,08-03-2020,India,Rajasthan,15
70,08-03-2020,India,Kerala,8
71,08-03-2020,India,Haryana,2
72,08-03-2020,India,Delhi,3
73,08-03-2020,India,Uttar Pradesh,7
74,09-03-2020,India,Ladakh,2
75,09-03-2020,India,Karnataka,1
76,09-03-2020,India,Kerala,9
77,09-03-2020,India,Maharashtra,2
78,09-03-2020,India,Punjab,1
79,09-03-2020,India,Rajasthan,15
80,09-03-2020,India,Tamil Nadu,1
81,09-03-2020,India,Telengana,1
82,09-03-2020,India,Jammu and Kashmir,1
83,09-03-2020,India,Uttar Pradesh,7
84,09-03-2020,India,Haryana,2
85,09-03-2020,India,Delhi,4
86,10-03-2020,India,Uttar Pradesh,7
87,10-03-2020,India,Ladakh,2
88,10-03-2020,India,Delhi,4
89,10-03-2020,India,Haryana,2
90,10-03-2020,India,Karnataka,4
91,10-03-2020,India,Kerala,15
92,10-03-2020,India,Maharashtra,5
93,10-03-2020,India,Punjab,1
94,10-03-2020,India,Rajasthan,15
95,10-03-2020,India,Tamil Nadu,1
96,10-03-2020,India,Telengana,1
97,10-03-2020,India,Jammu and Kashmir,1
98,11-03-2020,India,Maharashtra,2
99,11-03-2020,India,Delhi,5
100,11-03-2020,India,Haryana,14
101,11-03-2020,India,Kerala,17
102,11-03-2020,India,Rajasthan,3
103,11-03-2020,India,Telengana,1
104,11-03-2020,India,Uttar Pradesh,9
105,11-03-2020,India,Ladakh,2
106,11-03-2020,India,Tamil Nadu,1
107,11-03-2020,India,Jammu and Kashmir,1
108,11-03-2020,India,Punjab,1
109,11-03-2020,India,Karnataka,4
110,12-03-2020,India,Delhi,6
111,12-03-2020,India,Haryana,14
112,12-03-2020,India,Kerala,17
113,12-03-2020,India,Rajasthan,3
114,12-03-2020,India,Telengana,1
115,12-03-2020,India,Uttar Pradesh,11
116,12-03-2020,India,Ladakh,3
117,12-03-2020,India,Tamil Nadu,1
118,12-03-2020,India,Jammu and Kashmir,1
119,12-03-2020,India,Punjab,1
120,12-03-2020,India,Karnataka,4
121,12-03-2020,India,Maharashtra,11
122,12-03-2020,India,Andhra Pradesh,1
123,13-03-2020,India,Delhi,6
124,13-03-2020,India,Haryana,14
125,13-03-2020,India,Kerala,19
126,13-03-2020,India,Rajasthan,3
127,13-03-2020,India,Telengana,1
128,13-03-2020,India,Uttar Pradesh,11
129,13-03-2020,India,Ladakh,3
130,13-03-2020,India,Tamil Nadu,1
131,13-03-2020,India,Jammu and Kashmir,1
132,13-03-2020,India,Punjab,1
133,13-03-2020,India,Karnataka,6
134,13-03-2020,India,Maharashtra,14
135,13-03-2020,India,Andhra Pradesh,1
136,14-03-2020,India,Delhi,7
137,14-03-2020,India,Haryana,14
138,14-03-2020,India,Kerala,19
139,14-03-2020,India,Rajasthan,3
140,14-03-2020,India,Telengana,1
141,14-03-2020,India,Uttar Pradesh,12
142,14-03-2020,India,Ladakh,3
143,14-03-2020,India,Tamil Nadu,1
144,14-03-2020,India,Jammu and Kashmir,2
145,14-03-2020,India,Punjab,1
146,14-03-2020,India,Karnataka,6
147,14-03-2020,India,Maharashtra,14
148,14-03-2020,India,Andhra Pradesh,1
149,15-03-2020,India,Andhra Pradesh,1
150,15-03-2020,India,Delhi,7
151,15-03-2020,India,Haryana,14
152,15-03-2020,India,Karnataka,6
153,15-03-2020,India,Kerala,22
154,15-03-2020,India,Maharashtra,32
155,15-03-2020,India,Punjab,1
156,15-03-2020,India,Rajasthan,4
157,15-03-2020,India,Tamil Nadu,1
158,15-03-2020,India,Telengana,3
159,15-03-2020,India,Jammu and Kashmir,2
160,15-03-2020,India,Ladakh,3
161,15-03-2020,India,Uttar Pradesh,13
162,15-03-2020,India,Uttarakhand,1
163,16-03-2020,India,Andhra Pradesh,1
164,16-03-2020,India,Delhi,7
165,16-03-2020,India,Haryana,14
166,16-03-2020,India,Karnataka,6
167,16-03-2020,India,Kerala,23
168,16-03-2020,India,Maharashtra,32
169,16-03-2020,India,Odisha,1
170,16-03-2020,India,Punjab,1
171,16-03-2020,India,Rajasthan,4
172,16-03-2020,India,Tamil Nadu,1
173,16-03-2020,India,Telengana,3
174,16-03-2020,India,Jammu and Kashmir,3
175,16-03-2020,India,Ladakh,4
176,16-03-2020,India,Uttar Pradesh,13
177,16-03-2020,India,Uttarakhand,1
178,17-03-2020,India,Andhra Pradesh,1
179,17-03-2020,India,Delhi,8
180,17-03-2020,India,Haryana,15
181,17-03-2020,India,Karnataka,11
182,17-03-2020,India,Kerala,26
183,17-03-2020,India,Maharashtra,39
184,17-03-2020,India,Odisha,1
185,17-03-2020,India,Punjab,1
186,17-03-2020,India,Rajasthan,4
187,17-03-2020,India,Tamil Nadu,1
188,17-03-2020,India,Telengana,5
189,17-03-2020,India,Jammu and Kashmir,3
190,17-03-2020,India,Ladakh,6
191,17-03-2020,India,Uttar Pradesh,15
192,17-03-2020,India,Uttarakhand,1
193,18-03-2020,India,Andhra Pradesh,1
194,18-03-2020,India,Delhi,10
195,18-03-2020,India,Haryana,17
196,18-03-2020,India,Karnataka,11
197,18-03-2020,India,Kerala,27
198,18-03-2020,India,Maharashtra,42
199,18-03-2020,India,Odisha,1
200,18-03-2020,India,Puducherry,1
201,18-03-2020,India,Punjab,1
202,18-03-2020,India,Rajasthan,4
203,18-03-2020,India,Tamil Nadu,1
204,18-03-2020,India,Telengana,6
205,18-03-2020,India,Jammu and Kashmir,3
206,18-03-2020,India,Ladakh,8
207,18-03-2020,India,Uttar Pradesh,16
208,18-03-2020,India,Uttarakhand,1
209,18-03-2020,India,West Bengal,1
210,19-03-2020,India,Andhra Pradesh,2
211,19-03-2020,India,Chhattisgarh,1
212,19-03-2020,India,Delhi,12
213,19-03-2020,India,Haryana,17
214,19-03-2020,India,Karnataka,14
215,19-03-2020,India,Kerala,27
216,19-03-2020,India,Maharashtra,47
217,19-03-2020,India,Odisha,1
218,19-03-2020,India,Puducherry,1
219,19-03-2020,India,Punjab,2
220,19-03-2020,India,Rajasthan,7
221,19-03-2020,India,Tamil Nadu,2
222,19-03-2020,India,Telengana,6
223,19-03-2020,India,Chandigarh,1
224,19-03-2020,India,Jammu and Kashmir,4
225,19-03-2020,India,Ladakh,8
226,19-03-2020,India,Uttar Pradesh,19
227,19-03-2020,India,Uttarakhand,1
228,19-03-2020,India,West Bengal,1
229,20-03-2020,India,Andhra Pradesh,3
230,20-03-2020,India,Chhattisgarh,1
231,20-03-2020,India,Delhi,17
232,20-03-2020,India,Gujarat,5
233,20-03-2020,India,Haryana,17
